Month,Route Number,Total Miles,Total Weight,House Count,Weight per House
July,RFAU22,43,40540,907,44.69680265
July,RFAU25,75,65960,1638,40.26862027
July,RFAU26,43,42100,979,43.00306435
July,RMBS33,24,42720,848,50.37735849
July,RMBS34,23,37360,1003,37.24825523
July,RMBS35,23,31360,1563,20.06397953
July,RMBS40,17,35540,754,47.13527851
July,RMBS41,35,38120,1148,33.20557491
July,RMBS42,15,38360,797,48.13048934
July,RMBS43,33,37520,1096,34.23357664
July,RMBU10,48,54320,1239,43.84180791
July,RMBU11,63,56800,1146,49.56369983
July,RMBU12,51,52720,1213,43.46248969
July,RMBU13,48,47240,1384,34.13294798
July,RMBU14,89,59600,833,71.54861945
July,RMBU15,38,25260,715,35.32867133
July,RMBU16,34,43940,679,64.71281296
July,RMBU20,51,48220,1445,33.37024221
July,RMBU21,48,49740,1637,30.38485034
July,RMBU22,57,52560,1469,35.7794418
July,RMBU23,37,50540,860,58.76744186
July,RMBU24,44,51700,1096,47.17153285
July,RMBU25,50,50060,1020,49.07843137
July,RMBU26,52,47880,1215,39.40740741
July,RTBS33,25,43260,751,57.60319574
July,RTBS34,20,31580,1063,29.70837253
July,RTBS35,18,22660,956,23.70292887
July,RTBS40,40,34460,995,34.63316583
July,RTBS41,28,36860,758,48.62796834
July,RTBS43,21,38660,760,50.86842105
July,RTBU10,43,38840,645,60.21705426
July,RTBU11,37,34360,751,45.75233023
July,RTBU12,57,39620,586,67.6109215
July,RTBU13,64,45300,834,54.31654676
July,RTBU15,29,33420,1008,33.1547619
July,RTBU16,58,27880,581,47.98623064
July,RTBU20,43,50820,913,55.6626506
July,RTBU21,41,37560,847,44.34474616
July,RTBU22,24,35540,769,46.21586476
July,RTBU23,34,32140,935,34.37433155
July,RTBU26,47,47900,872,54.93119266
July,RWBS33,35,43060,1084,39.72324723
July,RWBS34,25,37560,1157,32.46326707
July,RWBS35,53,71350,1610,44.31677019
July,RWBS40,35,48057,837,57.41577061
July,RWBS41,18,35000,1189,29.43650126
July,RWBS43,26,32500,1249,26.02081665
July,RWBU10,67,35460,905,39.18232044
July,RWBU11,25,33320,858,38.83449883
July,RWBU13,59,40280,667,60.3898051
July,RWBU14,33,45480,890,51.1011236
July,RWBU16,47,44053,839,52.50655542
July,RWBU20,51,41020,1116,36.7562724
July,RWBU21,38,37780,1331,28.38467318
July,RWBU22,54,50060,1573,31.8245391
July,RWBU23,42,42500,1192,35.65436242
July,RWBU24,38,58260,1020,57.11764706
July,RWBU25,44,35380,969,36.51186791
July,RWBU26,48,47620,937,50.82177161
July,RHBS33,31,39250,1151,34.10078193
July,RHBS34,24,38470,1432,26.86452514
July,RHBS35,48,63870,1523,41.93696651
July,RHBS40,27,31020,979,31.68539326
July,RHBS42,23,38860,1045,37.18660287
July,RHBS43,37,70110,1225,57.23265306
July,RHBU10,80,59200,776,76.28865979
July,RHBU11,32,33180,769,43.14694408
July,RHBU12,29,42252,841,50.24019025
July,RHBU13,48,41140,853,48.22977726
July,RHBU14,50,44300,752,58.90957447
July,RHBU16,47,39660,803,49.38978829
July,RHBU20,32,34760,774,44.90956072
July,RHBU21,38,35620,760,46.86842105
July,RHBU22,40,46360,1103,42.03082502
July,RHBU24,54,50820,1269,40.04728132
July,RHBU25,40,42180,1061,39.75494816
July,RHBU26,53,46620,1031,45.21823472
July,RFBS33,51,41853,1175,35.61957447
July,RFBS34,22,34920,1125,31.04
July,RFBS35,33,35410,995,35.5879397
July,RFBS40,33,32428,1507,21.51824818
July,RFBS41,16,33240,880,37.77272727
July,RFBS42,60,49280,961,51.27991675
July,RFBU10,52,39840,830,48
July,RFBU11,38,34020,1030,33.02912621
July,RFBU13,42,42260,923,45.78548212
July,RFBU14,76,42900,957,44.82758621
July,RFBU15,40,30580,1116,27.40143369
July,RFBU16,44,41920,916,45.76419214
July,RFBU20,59,50340,1459,34.5030843
July,RFBU21,47,40680,1058,38.44990548
July,RFBU22,46,46160,1144,40.34965035
July,RFBU23,40,42080,1091,38.57011916
July,RFBU24,43,32160,856,37.57009346
July,RFBU25,36,38020,914,41.59737418
July,RMAS33,48,53300,1101,48.41053588
July,RMAS34,52,49600,1178,42.10526316
July,RMAS35,56,44580,1207,36.93454847
July,RMAS40,25,31540,833,37.86314526
July,RMAS41,37,54380,1225,44.39183673
July,RMAS42,30,43340,966,44.86542443
July,RMAU10,53,53340,1112,47.9676259
July,RMAU11,66,50080,1188,42.15488215
July,RMAU12,47,38640,983,39.30824008
July,RMAU14,57,49480,1089,45.43617998
July,RMAU15,61,46680,909,51.35313531
July,RMAU16,42,40960,791,51.78255373
July,RMAU20,33,48680,896,54.33035714
July,RMAU21,33,41320,1345,30.72118959
July,RMAU22,44,50060,1299,38.53733641
July,RMAU23,46,47800,1591,30.04399749
July,RMAU24,55,46940,948,49.51476793
July,RMAU25,32,40820,922,44.27331887
July,RWBU12,34,22560,873,25.8419244
